INSTNM,CONTROL,STABBR,age_entry,married,md_faminc,median_hh_inc,pct_white,md_earn_wne_p10,poverty_rate,unemp_rate,pct_born_us,better_off,LOCALE,MENONLY,WOMENONLY,DISTANCEONLY,UGDS,PCTPELL,UG25abv
University of West Alabama,1,AL,22.5599994659,0.1199999973,23735.0,40238.44,55.4900016785,33800,19.4699993134,4.3200001717,98.0199966431,-10065.0,43,0,0,0,1988,0.5604,0.1786
Lurleen B Wallace Community College,1,AL,25.1299991608,0.2599999905,17373.0,37073.95,74.4499969482,28000,16.4099998474,4.5,98.3499984741,-10627.0,41,0,0,0,1372,0.5753,0.2503
Marion Military Institute,1,AL,19.8700008392,0.0,48241.0,56305.23,72.2699966431,48500,11.2700004578,3.5799999237,92.75,-259.0,43,0,0,0,411,0.4424,0.0048
Miles College,2,AL,21.7099990845,0.0299999993,19948.0,43157.79,35.8800010681,27200,18.1900005341,5.25,96.0999984741,-7252.0,21,0,0,0,1663,0.8227,0.1657
University of Mobile,2,AL,25.1299991608,0.2099999934,37643.0,51833.34,71.0400009155,37800,12.4899997711,3.9400000572,96.8199996948,-157.0,41,0,0,0,1472,0.5032,0.2782
University of Montevallo,1,AL,21.5599994659,0.0900000036,48019.0,59047.15,77.8000030518,35100,9.3400001526,2.9500000477,97.0899963379,12919.0,21,0,0,0,2610,0.4136,0.1203
Northwest-Shoals Community College,1,AL,24.5699996948,0.2399999946,21604.5,43283.31,85.7900009155,26300,12.1800003052,3.3399999142,97.9499969482,-4695.5,13,0,0,0,3235,0.5233,0.2605
University of North Alabama,1,AL,22.2000007629,0.1199999973,40030.0,48189.09,83.7600021362,36300,11.0699996948,3.3900001049,97.5500030518,3730.0,13,0,0,0,5536,0.4192,0.1503
Northeast Alabama Community College,1,AL,26.7800006866,0.3300000131,21012.0,43126.73,92.6299972534,28700,11.1800003052,3.2799999714,97.5999984741,-7688.0,42,0,0,0,2376,0.628,0.277
Oakwood University,2,AL,21.2299995422,0.0399999991,42094.5,60906.45,54.4000015259,33700,10.6199998856,4.25,86.4499969482,8394.5,12,0,0,0,1854,0.5066,0.1472
Alabama Southern Community College,1,AL,23.8600006104,0.1400000006,15567.0,37664.25,52.25,23200,20.4500007629,4.8200001717,99.0100021362,-7633.0,41,0,0,0,1218,0.5602,0.1942
Prince Institute-Southeast,3,AL,27.4500007629,0.1400000006,21838.0,53434.07,71.8600006104,29000,10.5799999237,3.3599998951,96.7900009155,-7162.0,12,0,0,0,102,0.6446,0.6569
Reid State Technical College,1,AL,27.0699996948,0.2599999905,14360.0,36356.31,61.3100013733,20100,18.5699996948,4.7100000381,98.8899993896,-5740.0,41,0,0,0,414,0.701,0.4081
Bishop State Community College,1,AL,26.2199993134,0.1700000018,13324.5,41748.26,50.0699996948,22600,19.8500003815,5.1599998474,97.5,-9275.5,12,0,0,0,3363,0.6352,0.3966
Samford University,2,AL,21.0200004578,0.0599999987,77481.0,69602.13,80.9100036621,45800,7.0999999046,2.6800000668,94.6399993896,31681.0,21,0,0,0,2995,0.1494,0.0601
Selma University,2,AL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,0,0,0,447,0.75,0.5017
Shelton State Community College,1,AL,23.4599990845,0.1199999973,14828.0,43868.43,60.9099998474,24300,16.1299991608,4.0199999809,97.8000030518,-9472.0,13,0,0,0,4859,0.5217,0.2297
Snead State Community College,1,AL,25.6800003052,0.3199999928,17981.0,42881.33,90.7600021362,26000,12.2100000381,3.4600000381,95.5,-8019.0,32,0,0,0,2161,0.5743,0.2867
University of South Alabama,1,AL,23.6900005341,0.1599999964,30958.0,51919.71,71.4300003052,38300,12.5,3.9000000954,96.5,-7342.0,12,0,0,0,11048,0.3743,0.2343
Spring Hill College,2,AL,21.4899997711,0.0599999987,58994.0,59048.32,72.6600036621,43800,10.7600002289,3.5699999332,93.8799972534,15194.0,12,0,0,0,1269,0.3328,0.0712
Southeastern Bible College,2,AL,26.7800006866,0.2899999917,44006.0,57076.95,74.4700012207,28800,9.9200000763,3.0399999619,96.7300033569,15206.0,21,0,0,0,160,0.6089,0.5466
Stillman College,2,AL,20.5400009155,0.0199999996,25809.0,46186.31,45.75,24700,16.2299995422,4.8099999428,94.8099975586,1109.0,13,0,0,0,863,0.7429,0.0533
Talladega College,2,AL,21.5400009155,0.0299999993,19712.0,44867.28,43.0900001526,25600,17.4099998474,5.1999998093,94.6500015259,-5888.0,32,0,0,0,894,0.9663,0.1706
H Councill Trenholm State Technical College,1,AL,26.6399993896,0.1800000072,13844.0,44608.65,44.1199989319,21000,17.6299991608,4.3499999046,97.5100021362,-7156.0,12,0,0,0,1262,0.6097,0.456
Troy University,1,AL,27.5300006866,0.2899999917,27401.0,49132.68,62.0200004578,36600,12.9899997711,3.8499999046,95.6100006104,-9199.0,41,0,0,0,16208,0.4758,0.5332
Troy University-Phenix City Campus,1,AL,27.5300006866,0.2899999917,27401.0,49132.68,62.0200004578,36600,12.9899997711,3.8499999046,95.6100006104,-9199.0,NA,NA,NA,NA,NA,NA,NA
Troy University-Montgomery Campus,1,AL,27.5300006866,0.2899999917,27401.0,49132.68,62.0200004578,36600,12.9899997711,3.8499999046,95.6100006104,-9199.0,NA,NA,NA,NA,NA,NA,NA
Troy University-Dothan Campus,1,AL,27.5300006866,0.2899999917,27401.0,49132.68,62.0200004578,36600,12.9899997711,3.8499999046,95.6100006104,-9199.0,NA,NA,NA,NA,NA,NA,NA
Troy University-eTROY,1,AL,27.5300006866,0.2899999917,27401.0,49132.68,62.0200004578,36600,12.9899997711,3.8499999046,95.6100006104,-9199.0,NA,NA,NA,NA,NA,NA,NA
Troy University-Global Campus,1,AL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuskegee University,2,AL,19.5900001526,0.0,39069.0,54155.29,42.8499984741,37100,14.4600000381,4.8499999046,89.7399978638,1969.0,32,0,0,0,2584,0.6453,0.0368
United States Sports Academy,2,AL,31.5,0.5299999714,31218.0,59896.36,73.2900009155,NA,9.0100002289,3.5499999523,91.0599975586,NA,13,0,0,0,80,0.4701,0.4737
Bevill State Community College,1,AL,25.7700004578,0.2700000107,15937.0,41185.71,82.7399978638,25900,13.3299999237,3.8299999237,98.6200027466,-9963.0,32,0,0,0,3212,0.5844,0.3275
University of Alaska Anchorage,1,AK,25.5400009155,0.2399999946,36717.0,72116.59,73.6600036621,42000,6.6999998093,5.2199997902,91.75,-5283.0,11,0,0,0,13116,0.2473,0.4386
Alaska Bible College,2,AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,0,0,0,26,0.2182,0.4286
University of Alaska Fairbanks,1,AK,24.2999992371,0.2099999934,35138.5,65084.81,69.3499984741,38200,8.4499998093,6.5599999428,93.3899993896,-3061.5,23,0,0,0,5729,0.2349,0.4519
University of Alaska Southeast,1,AK,26.5100002289,0.2300000042,33802.5,73622.06,73.9300003052,39500,5.6700000763,5.2199997902,92.9700012207,-5697.5,33,0,0,0,1488,0.1834,0.555
Alaska Pacific University,2,AK,26.5200004578,0.2199999988,48081.5,70542.98,73.1299972534,47400,7.0500001907,4.7199997902,91.3300018311,681.5,11,0,0,0,340,0.2791,0.491
AVTEC-Alaska's Institute of Technology,1,AK,28.1499996185,0.1800000072,17052.0,62883.46,54.9500007629,30100,11.4899997711,8.4200000763,95.1999969482,-13048.0,43,0,0,0,1347,0.1163,0.7127
Charter College-Anchorage,3,AK,31.0699996948,0.3799999952,35504.0,75163.69,71.1699981689,42000,6.0100002289,4.9200000763,90.0899963379,-6496.0,11,0,0,0,2191,0.6598,0.5472
Prince William Sound Community College,1,AK,25.5400009155,0.2399999946,36717.0,72116.59,73.6600036621,42000,6.6999998093,5.2199997902,91.75,-5283.0,43,0,0,0,134,0.2092,0.5393
Alaska Career College,3,AK,28.4099998474,0.2899999917,20949.5,69860.72,68.2300033569,30900,7.3200001717,5.5300002098,90.5,-9950.5,11,0,0,0,335,0.6181,0.5612
Everest College-Phoenix,3,AZ,29.3899993896,0.3199999928,21163.0,56859.92,73.0,28300,10.6499996185,3.6700000763,85.5899963379,-7137.0,11,0,0,0,2761,0.8264,0.67
Collins College,3,AZ,22.8299999237,0.0900000036,31163.0,58334.28,74.4599990845,25200,10.4300003052,3.8299999237,88.2600021362,5963.0,11,0,0,0,254,0.7475,0.4764
Empire Beauty School-Paradise Valley,3,AZ,26.5100002289,0.200000003,23733.0,65369.41,77.3799972534,19300,8.9799995422,3.0399999619,86.2699966431,4433.0,11,0,0,0,43,0.6598,0.4651
Empire Beauty School-Tucson,3,AZ,25.7700004578,0.2099999934,21213.5,52261.19,73.7799987793,16400,11.5600004196,3.2599999905,85.9599990845,4813.5,11,0,0,0,175,0.7843,0.4229
Thunderbird School of Global Management,2,AZ,28.5100002289,0.3000000119,30648.0,71245.67,81.0800018311,NA,6.9600000381,3.2899999619,86.6299972534,NA,21,0,0,0,2,0.0,NA
Global MBA Latin American Managers Program Satellite Campus,2,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Indian College of the Assemblies of God Inc,2,AZ,26.3199996948,0.2199999988,11429.0,44042.5,48.1599998474,NA,20.8899993896,8.3699998856,90.8199996948,NA,11,0,0,0,77,0.7945,0.4684
American Institute of Technology,3,AZ,36.0800018311,0.3899999857,24261.0,57768.8,71.7699966431,30700,10.3400001526,3.9800000191,82.0599975586,-6439.0,11,0,0,0,278,0.4933,0.9137
Carrington College-Phoenix,3,AZ,26.2000007629,0.2199999988,17083.0,53686.19,68.8700027466,26200,12.6599998474,3.9800000191,85.5500030518,-9117.0,11,0,0,0,676,0.7255,0.2722
Carrington College-Mesa,3,AZ,NA,NA,NA,NA,NA,26200,NA,NA,NA,NA,11,0,0,0,691,0.7296,0.4588
Carrington College-Tucson,3,AZ,NA,NA,NA,NA,NA,26200,NA,NA,NA,NA,11,0,0,0,440,0.6507,0.3568
College America-Flagstaff,2,AZ,25.5699996948,0.1700000018,17390.0,45219.99,44.0800018311,NA,22.0400009155,6.8099999428,92.6299972534,NA,13,0,0,0,209,0.8431,0.6651
Arizona Academy of Beauty-East,3,AZ,27.3700008392,0.3100000024,13453.0,47198.06,71.5400009155,17600,12.7700004578,3.3699998856,84.8399963379,-4147.0,11,0,0,0,47,0.575,0.4894
Arizona Automotive Institute,3,AZ,24.9699993134,0.1800000072,22059.0,52276.12,63.1399993896,33900,15.029999733,4.9600000381,80.9599990845,-11841.0,21,0,0,0,505,0.7742,0.6
Brookline College-Phoenix,3,AZ,26.2099990845,0.25,9091.0,50758.42,65.5899963379,22300,13.4799995422,3.9800000191,83.7200012207,-13209.0,11,0,0,0,828,0.6609,0.6389
Arizona State University-Tempe,1,AZ,22.5599994659,0.1299999952,43477.0,69074.33,78.7600021362,45200,7.7100000381,3.1500000954,86.9599990845,-1723.0,12,0,0,0,38480,0.3376,0.1414
Arizona Western College,1,AZ,23.7999992371,0.2099999934,23864.5,41365.15,62.8400001526,25600,21.4699993134,7.9200000763,67.6800003052,-1735.5,13,0,0,0,7442,0.5803,0.3166
University of Arizona,1,AZ,21.5200004578,0.0799999982,46758.0,64708.31,77.5100021362,44400,9.2899999619,3.2699999809,86.4300003052,2358.0,11,0,0,0,31399,0.3265,0.091
Southwest University of Visual Arts-Tucson,3,AZ,25.8600006104,0.1899999976,27715.0,56683.5,76.1699981689,27500,9.7399997711,3.3599998951,89.5999984741,215.0,11,0,0,0,216,0.5308,0.8657
Brillare Hairdressing Academy,3,AZ,22.8600006104,0.1199999973,48405.0,72376.89,82.4700012207,19900,6.1599998474,2.7699999809,88.4899978638,28505.0,12,0,0,0,226,0.5724,0.3938
Central Arizona College,1,AZ,27.3999996185,0.2700000107,23064.0,49319.55,66.9899978638,28700,13.7100000381,4.3000001907,88.2300033569,-5636.0,41,0,0,0,5462,0.4644,0.4518
Brown Mackie College-Tucson,3,AZ,27.8400001526,0.2300000042,17374.0,45529.6,67.5999984741,25200,15.2600002289,3.6900000572,83.8199996948,-7826.0,11,0,0,0,684,0.8355,0.652
Charles of Italy Beauty College,3,AZ,26.8199996948,0.2899999917,20597.0,46757.68,89.8199996948,16500,8.6400003433,3.2300000191,93.1200027466,4097.0,13,0,0,0,83,0.6291,0.4819
Cochise College,1,AZ,26.3299999237,0.2800000012,18721.0,44599.32,74.3099975586,31200,15.9399995804,3.3800001144,81.5400009155,-12479.0,42,0,0,0,3787,0.308,0.4534
Empire Beauty School-Flagstaff,3,AZ,26.7099990845,0.3000000119,25702.0,60995.61,81.4400024414,16900,7.8000001907,2.9600000381,90.25,8802.0,13,0,0,0,53,0.7474,0.3208
Empire Beauty School-Chandler,3,AZ,26.7099990845,0.3000000119,25702.0,60995.61,81.4400024414,16900,7.8000001907,2.9600000381,90.25,8802.0,21,0,0,0,113,0.7113,0.469
Cortiva Institute-Tucson,3,AZ,28.0400009155,0.200000003,24309.5,54064.81,77.8700027466,21800,9.9399995804,3.2000000477,87.5400009155,2509.5,11,0,0,0,143,0.7105,0.5664
Avalon School of Cosmetology-Mesa,3,AZ,25.2299995422,0.3000000119,28185.0,66538.28,80.9899978638,17900,6.8800001144,2.9400000572,87.8700027466,10285.0,11,0,0,0,273,0.7927,0.293
Eastern Arizona College,1,AZ,24.6599998474,0.2099999934,17652.0,44403.48,66.4400024414,27800,17.4599990845,6.0500001907,94.2600021362,-10148.0,33,0,0,0,4812,0.1975,0.5279
Embry-Riddle Aeronautical University-Prescott,2,AZ,23.2299995422,0.2099999934,52839.0,66671.2,78.7900009155,60900,7.3000001907,3.2000000477,88.1200027466,-8061.0,41,0,0,0,1802,0.2884,0.1166
Frank Lloyd Wright School of Architecture,2,AZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0,0,0,2,0.3333,NA
Glendale Community College,1,AZ,25.3700008392,0.200000003,25542.0,60869.63,75.1699981689,33300,8.9899997711,3.4900000095,85.2799987793,-7758.0,21,0,0,0,16623,0.3814,0.3324
Grand Canyon University,3,AZ,32.9399986267,0.4699999988,48504.0,62877.37,75.2600021362,45200,8.9499998093,3.5,88.9800033569,3304.0,11,0,0,0,34643,0.5262,0.664
Anthem College-Phoenix,3,AZ,27.4300003052,0.2700000107,22832.0,57944.14,68.4199981689,29500,10.5600004196,3.9800000191,88.6800003052,-6668.0,11,0,0,0,2238,0.7791,0.6997
International Academy of Hair Design,3,AZ,24.8400001526,0.2700000107,27778.5,63615.2,79.1600036621,20100,8.1000003815,2.9700000286,87.4899978638,7678.5,11,0,0,0,210,0.7182,0.3905
Kaplan College-Phoenix,3,AZ,27.2800006866,0.2700000107,19511.0,61353.5,77.5,26300,8.7100000381,3.3800001144,85.7900009155,-6789.0,11,0,0,0,93,0.5151,0.5806
GateWay Community College,1,AZ,29.5400009155,0.2599999905,21636.0,55530.55,69.8000030518,29800,12.9799995422,3.9100000858,81.0599975586,-8164.0,11,0,0,0,5653,0.3374,0.5832
Mesa Community College,1,AZ,24.8999996185,0.1899999976,26831.0,63155.06,77.8300018311,36000,7.9899997711,3.1500000954,87.7699966431,-9169.0,11,0,0,0,20120,0.3726,0.401
ITT Technical Institute-Tucson,3,AZ,24.6800003052,0.1599999964,23423.0,50010.16,67.8899993896,38400,13.6700000763,3.7999999523,90.6699981689,-14977.0,21,0,0,0,409,0.7304,0.7457
ITT Technical Institute-Tempe,3,AZ,25.8799991608,0.2099999934,26790.0,55113.76,68.3199996948,38400,11.8299999237,3.9600000381,89.3600006104,-11610.0,12,0,0,0,498,0.68,0.7048
Mohave Community College,1,AZ,29.3600006104,0.3300000131,16976.5,44384.44,89.2300033569,26700,9.8400001526,3.7000000477,93.1800003052,-9723.5,41,0,0,0,4759,0.4772,0.4639
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,3,AZ,24.7999992371,0.1299999952,38622.5,62022.22,81.5800018311,33800,7.9800000191,3.3399999142,89.1200027466,4822.5,11,0,0,0,2049,0.4818,0.571
Dine College,1,AZ,25.4699993134,0.150000006,16523.0,32363.14,5.3400001526,22500,38.3300018311,10.8500003815,99.25,-5977.0,43,0,0,0,1402,0.8223,0.4468
Northern Arizona University,1,AZ,23.6200008392,0.1599999964,43127.0,59985.62,74.9000015259,38800,10.529999733,3.9300000668,88.9899978638,4327.0,13,0,0,0,22011,0.3778,0.1989
Northland Pioneer College,1,AZ,28.4799995422,0.3100000024,15569.0,39948.81,50.8699989319,22100,23.5200004578,7.1300001144,97.5299987793,-6531.0,41,0,0,0,1641,0.2942,0.3944
Ottawa University-Phoenix,2,AZ,30.8099994659,0.400000006,45681.0,65346.8,80.3199996948,40700,7.1799998283,3.0399999619,91.4199981689,4981.0,11,0,0,0,335,0.5982,0.8841
Phoenix College,1,AZ,26.4200000763,0.1800000072,20846.0,50868.19,65.9700012207,32500,14.9600000381,4.1700000763,77.9300003052,-11654.0,11,0,0,0,10234,0.4733,0.504
Cortiva Institute-Scottsdale,3,AZ,28.75,0.2199999988,26600.0,62086.42,79.6699981689,25400,8.6599998474,3.25,88.0800018311,1200.0,12,0,0,0,87,0.5497,0.6207
University of Phoenix-Phoenix Campus,3,AZ,32.2299995422,0.4499999881,35946.5,62086.89,69.4700012207,53400,9.6000003815,3.8099999428,86.6999969482,-17453.5,12,0,0,0,3044,0.5242,0.8477
Pima Community College,1,AZ,26.3099994659,0.2099999934,20626.0,50427.11,72.8199996948,30100,12.5699996948,3.5199999809,85.8399963379,-9474.0,11,0,0,0,26600,0.3268,0.4215
Pima Medical Institute-Tucson,3,AZ,27.7000007629,0.2899999917,20361.0,59572.48,71.0100021362,27600,9.4899997711,3.6500000954,84.4000015259,-7239.0,11,0,0,0,1726,0.4898,0.6153
Pima Medical Institute-Albuquerque,3,NM,27.7000007629,0.2899999917,20361.0,59572.48,71.0100021362,27600,9.4899997711,3.6500000954,84.4000015259,-7239.0,11,0,0,0,930,0.6183,0.5387
Prescott College,2,AZ,29.8199996948,0.2599999905,29669.0,62739.99,81.8700027466,35200,8.4799995422,3.2300000191,89.0400009155,-5531.0,13,0,0,0,540,0.4547,0.3817
Refrigeration School Inc,3,AZ,31.1700000763,0.349999994,27100.5,57880.38,70.5299987793,37700,11.6099996567,3.7999999523,85.0400009155,-10599.5,11,0,0,0,621,0.6453,0.752
Rio Salado College,1,AZ,30.2700004578,0.4199999869,26809.0,62743.54,77.1200027466,36600,8.4799995422,3.2000000477,86.7600021362,-9791.0,12,0,0,0,10217,0.2559,0.4699
Roberto-Venn School of Luthiery,3,AZ,25.5200004578,0.0700000003,35738.0,63275.06,84.0699996948,23000,7.9800000191,3.3599998951,88.8199996948,12738.0,11,0,0,0,39,0.4667,0.0513
Hair Academy of Safford,3,AZ,24.0799999237,0.25,3667.0,42963.02,75.4899978638,12600,14.5900001526,4.6700000763,94.3899993896,-8933.0,41,0,0,0,64,0.587,0.25
Scottsdale Community College,1,AZ,25.0900001526,0.1299999952,27247.5,67477.78,80.8099975586,35700,7.7800002098,3.0899999142,87.3499984741,-8452.5,41,0,0,0,7687,0.2196,0.3648
South Mountain Community College,1,AZ,25.8400001526,0.1599999964,20030.0,55144.14,60.3699989319,27100,15.9300003052,4.1799998283,79.2200012207,-7070.0,11,0,0,0,3980,0.5049,0.4186
Arizona Christian University,2,AZ,22.2999992371,0.1199999973,43195.0,65520.64,82.2699966431,31000,7.1900000572,3.0499999523,87.5899963379,12195.0,11,0,0,0,491,0.328,0.1055
Tucson College,3,AZ,28.1700000763,0.2899999917,13307.0,49079.18,72.3300018311,24100,11.8900003433,3.3499999046,85.9199981689,-10793.0,11,0,0,0,284,0.5714,0.5317
Universal Technical Institute of Arizona Inc,3,AZ,21.6499996185,0.0700000003,46537.0,64889.67,73.5999984741,43400,8.8400001526,3.7799999714,84.6299972534,3137.0,22,0,0,0,2337,0.4808,0.3196
Western International University,3,AZ,31.5300006866,0.4499999881,29442.0,59120.06,74.5299987793,52600,9.4899997711,3.7000000477,89.7399978638,-23158.0,12,0,0,0,1369,0.3861,0.9272
Empire Beauty School-NW Phoenix,3,AZ,25.1299991608,0.2099999934,16203.0,51858.75,64.2799987793,19200,14.4600000381,4.1599998474,77.7600021362,-2997.0,11,0,0,0,172,0.8056,0.4244
Yavapai College,1,AZ,27.9899997711,0.2199999988,18474.0,48093.18,86.3099975586,28200,9.4200000763,3.2000000477,93.2699966431,-9726.0,13,0,0,0,6072,0.3145,0.5393
University of Arkansas at Little Rock,1,AR,25.1399993896,0.200000003,26332.5,51732.17,70.0500030518,34800,10.9600000381,3.6300001144,96.6299972534,-8467.5,12,0,0,0,8504,0.4027,0.4062
University of Arkansas for Medical Sciences,1,AR,25.7800006866,0.349999994,34993.0,49718.16,79.3399963379,62400,10.7899999619,3.4800000191,96.6999969482,-27407.0,12,0,0,0,755,0.363,0.5133
ABC Beauty College Inc,3,AR,27.5100002289,0.3199999928,16534.5,42338.39,78.3799972534,NA,12.9399995804,3.1099998951,96.7699966431,NA,32,0,0,0,32,0.9605,0.4688
Arkansas Baptist College,2,AR,26.2999992371,0.1299999952,13335.0,43283.78,50.8600006104,21100,16.1399993896,4.7899999619,96.4599990845,-7765.0,12,0,0,0,1022,0.7107,0.2833
Arkansas Beauty School,3,AR,24.8799991608,0.1000000015,6888.5,46467.08,51.0600013733,NA,13.7399997711,4.3600001335,96.1699981689,NA,12,0,0,0,37,1.0,0.7027
